Language	Concept	IPA	ASJP	SCA
gwa	long	ləmbo	l3mbo	LEMPU
gch	long	ləmbo	l3mbo	LEMPU
gdh	long	ləmbə	l3mb3	LEMPE
goa	long	ɸʌɾu	poru	BERY
met	long	laʈʰi	lath~i	LATI
bhm	long	laʈi	lati	LATI
bhs	long	laʈi	lati	LATI
bhb	long	lat	lat	LAT
mso	long	laʈʰ	lath~	LAT
mlj	long	lʌm	lom	LEM
mud	long	laʈʰ	lath~	LAT
rui	she	ad̪	ad	AT
grp	she	ʌd	od	ET
ght	she	hʌd	hod	HET
glb	she	adu	adu	ATY
ktg	she	adu	adu	ATY
dog	she	had̪u	hadu	HATY
mdh	she	adu	adu	ATY
mku	she	ʌd	od	ET
gni	she	ʌd̪u	odu	ETY
lxg	she	ʌd̪ːu	odu	ETY
get	she	adu	adu	ATY
gut	she	ʌd̪ːu	odu	ETY
gja	she	adu	adu	ATY
gbh	she	ad̪u	adu	ATY
mal	she	adu	adu	ATY
mbh	she	ad̪u	adu	ATY
mad	she	ad̪u	adu	ATY
gtd	she	ad̪ai̯	adai	ATA
gba	she	ad̪u	adu	ATY
gkt	she	ada(watu)	adawatu	ATAWATY
gok	she	yɛd	iEd	YT
psh	she	ʌda	oda	ETA
pmd	she	adu	adu	ATY
pkh	she	adu	adu	ATY
gcj	she	adʌ	ado	ATE
ggg	she	ad̪	ad	AT
khu	she	ad̪	ad	AT
bhe	she	ad̪	ad	AT
prg	she	ad̪ɨ	ad3	ATI
gka	she	had̪u	hadu	HATY
gse	she	hʌɖ	hod	HET
gra	she	vɛɾ	vEr	BER
gki	she	ad̪e	ade	ATE
gar	she	had	had	HAT
gam	she	(h)ad̪	had	HAT
gwa	she	ad	ad	AT
gch	she	-----	-----	-----
gdh	she	ad̪u	adu	ATY
goa	she	had̪u	hadu	HATY
met	she	ad̪u	adu	ATY
bhm	she	ʌd̪	od	ET
bhs	she	ʌd̪	od	ET
bhb	she	wud̪	wud	WYT
mso	she	ʌd̪ʰu	odh~u	ETY
mlj	she	ʌd̪	od	ET
mud	she	ʌt̪ʰ	oth~	ET
rui	onion	ulli	ulli	YLI
grp	onion	ulin	ulin	YLIN
ght	onion	uli,ɡoŋli	uli, goNli	YLI, KUNLI
glb	onion	uli	uli	YLI
ktg	onion	ɡundli	gundli	KYNTLI
dog	onion	uɭːi	uLi	YLI
mdh	onion	uli	uli	YLI
mku	onion	uli	uli	YLI
gni	onion	uɭːi	uLi	YLI
lxg	onion	ulːɪ	uli	YLI
get	onion	mati	mati	MATI
gut	onion	ulːi	uli	YLI
gja	onion	uli	uli	YLI
gbh	onion	ulˑi	uli	YLI
mal	onion	uli	uli	YLI
mbh	onion	ul	ul	YL
mad	onion	ulˑi	uli	YLI
gtd	onion	uli	uli	YLI
gba	onion	uli	uli	YLI
gkt	onion	uli	uli	YLI
gok	onion	uli	uli	YLI
psh	onion	maʈi	mati	MATI
pmd	onion	matæi	matEi	MATE
pkh	onion	maʈi	mati	MATI
gcj	onion	kanda,mati	kanda, mati	KANTA, MATI
ggg	onion	ɡondri	gondri	KUNTRI
khu	onion	ɡondli	gondli	KUNTLI
bhe	onion	ɡondəli	gond3li	KUNTELI
prg	onion	ɡondri	gondri	KUNTRI
gka	onion	ulːi	uli	YLI
gse	onion	uɭiː	uLi	YLI
gra	onion	uliŋ	uliN	YLIN
gki	onion	uɭin	uLin	YLIN
gar	onion	ulli	ulli	YLI
gam	onion	uli	uli	YLI
gwa	onion	uli	uli	YLI
gch	onion	uli	uli	YLI
gdh	onion	(h)uli	huli	HYLI
goa	onion	uli(kʌda)	ulikoda	YLIKETA
met	onion	ulːi	uli	YLI
bhm	onion	ulːi	uli	YLI
bhs	onion	ulːu	ulu	YLY
bhb	onion	ulːi,ɡaːnd̪aɾ	uli, gandar	YLI, KANTAR
mso	onion	ɡond̪iɾi	gondiri	KUNTIRI
mlj	onion	ɡõd̪ɾi	godri	KUTRI
